id,Actual Count,Result at conf = 0.0275,Difference,Percentage Error,,Result at conf = 0.1,Difference,Percentage Error,,Result at conf = 0.025,Difference,Percentage Error,,Result at conf = 0.0225,Difference,Percentage Error,
614,32,29,3,0.0938,,19,13,0.4063,,32,0,0.0000,,32,0,0.0000,
615,30,27,3,0.1000,,21,9,0.3000,,27,3,0.1000,,27,3,0.1000,
616,29,25,4,0.1379,,20,9,0.3103,,25,4,0.1379,,29,0,0.0000,
617,27,20,7,0.2593,,18,9,0.3333,,21,6,0.2222,,22,5,0.1852,
618,28,21,7,0.2500,,18,10,0.3571,,21,7,0.2500,,23,5,0.1786,
619,26,21,5,0.1923,,17,9,0.3462,,22,4,0.1538,,22,4,0.1538,
620,25,22,3,0.1200,,15,10,0.4000,,22,3,0.1200,,25,0,0.0000,
621,29,22,7,0.2414,,17,12,0.4138,,24,5,0.1724,,25,4,0.1379,
622,28,22,6,0.2143,,19,9,0.3214,,22,6,0.2143,,24,4,0.1429,
623,25,22,3,0.1200,,19,6,0.2400,,23,2,0.0800,,25,0,0.0000,
624,26,23,3,0.1154,,16,10,0.3846,,23,3,0.1154,,24,2,0.0769,
625,25,21,4,0.1600,,17,8,0.3200,,21,4,0.1600,,25,0,0.0000,
626,25,24,1,0.0400,,14,11,0.4400,,24,1,0.0400,,24,1,0.0400,
627,22,24,-2,0.0909,,15,7,0.3182,,25,-3,0.1364,,27,-5,0.2273,
628,22,18,4,0.1818,,13,9,0.4091,,18,4,0.1818,,21,1,0.0455,
629,22,21,1,0.0455,,15,7,0.3182,,21,1,0.0455,,23,-1,0.0455,
630,23,21,2,0.0870,,16,7,0.3043,,21,2,0.0870,,22,1,0.0435,
631,21,19,2,0.0952,,15,6,0.2857,,19,2,0.0952,,21,0,0.0000,
632,22,18,4,0.1818,,15,7,0.3182,,18,4,0.1818,,18,4,0.1818,
633,25,20,5,0.2000,,16,9,0.3600,,20,5,0.2000,,22,3,0.1200,
634,26,21,5,0.1923,,17,9,0.3462,,21,5,0.1923,,25,1,0.0385,
635,27,20,7,0.2593,,17,10,0.3704,,20,7,0.2593,,22,5,0.1852,
636,24,26,-2,0.0833,,15,9,0.3750,,26,-2,0.0833,,28,-4,0.1667,
637,31,24,7,0.2258,,19,12,0.3871,,25,6,0.1935,,27,4,0.1290,
638,27,26,1,0.0370,,21,6,0.2222,,27,0,0.0000,,30,-3,0.1111,
639,28,23,5,0.1786,,19,9,0.3214,,23,5,0.1786,,24,4,0.1429,
640,29,19,10,0.3448,,19,10,0.3448,,19,10,0.3448,,22,7,0.2414,
641,28,20,8,0.2857,,18,10,0.3571,,20,8,0.2857,,20,8,0.2857,
642,28,21,7,0.2500,,18,10,0.3571,,21,7,0.2500,,22,6,0.2143,
643,25,21,4,0.1600,,14,11,0.4400,,21,4,0.1600,,22,3,0.1200,
644,24,19,5,0.2083,,14,10,0.4167,,20,4,0.1667,,22,2,0.0833,
645,24,18,6,0.2500,,13,11,0.4583,,19,5,0.2083,,20,4,0.1667,
646,24,20,4,0.1667,,14,10,0.4167,,21,3,0.1250,,22,2,0.0833,
647,24,22,2,0.0833,,16,8,0.3333,,22,2,0.0833,,23,1,0.0417,
648,23,20,3,0.1304,,16,7,0.3043,,20,3,0.1304,,25,-2,0.0870,
649,22,19,3,0.1364,,15,7,0.3182,,19,3,0.1364,,22,0,0.0000,
650,22,18,4,0.1818,,14,8,0.3636,,19,3,0.1364,,19,3,0.1364,
651,24,21,3,0.1250,,16,8,0.3333,,21,3,0.1250,,22,2,0.0833,
652,20,19,1,0.0500,,12,8,0.4000,,19,1,0.0500,,21,-1,0.0500,
653,19,18,1,0.0526,,11,8,0.4211,,18,1,0.0526,,20,-1,0.0526,
654,19,27,-8,0.4211,,13,6,0.3158,,27,-8,0.4211,,28,-9,0.4737,
655,17,19,-2,0.1176,,12,5,0.2941,,19,-2,0.1176,,20,-3,0.1765,
656,16,16,0,0.0000,,9,7,0.4375,,16,0,0.0000,,18,-2,0.1250,
657,17,20,-3,0.1765,,12,5,0.2941,,20,-3,0.1765,,22,-5,0.2941,
658,13,14,-1,0.0769,,11,2,0.1538,,15,-2,0.1538,,18,-5,0.3846,
659,14,21,-7,0.5000,,12,2,0.1429,,21,-7,0.5000,,23,-9,0.6429,
660,17,18,-1,0.0588,,10,7,0.4118,,18,-1,0.0588,,20,-3,0.1765,
661,17,17,0,0.0000,,9,8,0.4706,,20,-3,0.1765,,21,-4,0.2353,
662,18,16,2,0.1111,,10,8,0.4444,,16,2,0.1111,,18,0,0.0000,
663,19,14,5,0.2632,,10,9,0.4737,,15,4,0.2105,,16,3,0.1579,
664,18,19,-1,0.0556,,10,8,0.4444,,19,-1,0.0556,,20,-2,0.1111,
665,18,14,4,0.2222,,9,9,0.5000,,15,3,0.1667,,16,2,0.1111,
666,20,19,1,0.0500,,13,7,0.3500,,19,1,0.0500,,20,0,0.0000,
667,20,17,3,0.1500,,12,8,0.4000,,17,3,0.1500,,18,2,0.1000,
668,19,18,1,0.0526,,10,9,0.4737,,18,1,0.0526,,19,0,0.0000,
669,19,14,5,0.2632,,12,7,0.3684,,16,3,0.1579,,21,-2,0.1053,
670,19,15,4,0.2105,,11,8,0.4211,,16,3,0.1579,,17,2,0.1053,
671,19,18,1,0.0526,,13,6,0.3158,,18,1,0.0526,,21,-2,0.1053,
672,21,16,5,0.2381,,14,7,0.3333,,16,5,0.2381,,20,1,0.0476,
673,23,20,3,0.1304,,14,9,0.3913,,20,3,0.1304,,23,0,0.0000,
674,23,20,3,0.1304,,12,11,0.4783,,21,2,0.0870,,23,0,0.0000,
675,22,20,2,0.0909,,14,8,0.3636,,20,2,0.0909,,22,0,0.0000,
676,22,22,0,0.0000,,14,8,0.3636,,22,0,0.0000,,25,-3,0.1364,
677,23,21,2,0.0870,,14,9,0.3913,,23,0,0.0000,,25,-2,0.0870,
678,24,22,2,0.0833,,14,10,0.4167,,22,2,0.0833,,22,2,0.0833,
679,24,23,1,0.0417,,17,7,0.2917,,24,0,0.0000,,26,-2,0.0833,
680,23,21,2,0.0870,,14,9,0.3913,,22,1,0.0435,,24,-1,0.0435,
681,24,20,4,0.1667,,15,9,0.3750,,21,3,0.1250,,23,1,0.0417,
682,27,21,6,0.2222,,18,9,0.3333,,24,3,0.1111,,24,3,0.1111,
683,27,26,1,0.0370,,19,8,0.2963,,26,1,0.0370,,27,0,0.0000,
684,37,29,8,0.2162,,20,17,0.4595,,29,8,0.2162,,31,6,0.1622,
685,38,26,12,0.3158,,19,19,0.5000,,26,12,0.3158,,28,10,0.2632,
686,36,30,6,0.1667,,19,17,0.4722,,30,6,0.1667,,33,3,0.0833,
687,35,28,7,0.2000,,17,18,0.5143,,29,6,0.1714,,29,6,0.1714,
688,32,28,4,0.1250,,19,13,0.4063,,28,4,0.1250,,29,3,0.0938,
689,32,22,10,0.3125,,17,15,0.4688,,22,10,0.3125,,22,10,0.3125,
690,32,31,1,0.0313,,18,14,0.4375,,31,1,0.0313,,32,0,0.0000,
691,33,22,11,0.3333,,21,12,0.3636,,24,9,0.2727,,26,7,0.2121,
692,33,28,5,0.1515,,21,12,0.3636,,28,5,0.1515,,29,4,0.1212,
693,35,24,11,0.3143,,21,14,0.4000,,25,10,0.2857,,27,8,0.2286,
694,31,22,9,0.2903,,17,14,0.4516,,23,8,0.2581,,26,5,0.1613,
695,28,22,6,0.2143,,15,13,0.4643,,22,6,0.2143,,25,3,0.1071,
696,29,21,8,0.2759,,16,13,0.4483,,22,7,0.2414,,23,6,0.2069,
697,31,26,5,0.1613,,15,16,0.5161,,26,5,0.1613,,27,4,0.1290,
698,33,31,2,0.0606,,17,16,0.4848,,32,1,0.0303,,33,0,0.0000,
699,34,28,6,0.1765,,16,18,0.5294,,30,4,0.1176,,31,3,0.0882,
700,34,23,11,0.3235,,15,19,0.5588,,24,10,0.2941,,25,9,0.2647,
701,33,25,8,0.2424,,16,17,0.5152,,26,7,0.2121,,26,7,0.2121,
702,32,23,9,0.2813,,15,17,0.5313,,24,8,0.2500,,26,6,0.1875,
703,33,23,10,0.3030,,16,17,0.5152,,24,9,0.2727,,28,5,0.1515,
704,35,23,12,0.3429,,18,17,0.4857,,23,12,0.3429,,24,11,0.3143,
705,33,28,5,0.1515,,16,17,0.5152,,29,4,0.1212,,31,2,0.0606,
706,32,20,12,0.3750,,15,17,0.5313,,21,11,0.3438,,25,7,0.2188,
707,36,23,13,0.3611,,19,17,0.4722,,23,13,0.3611,,26,10,0.2778,
708,42,30,12,0.2857,,17,25,0.5952,,30,12,0.2857,,30,12,0.2857,
709,47,31,16,0.3404,,22,25,0.5319,,33,14,0.2979,,35,12,0.2553,
710,42,27,15,0.3571,,20,22,0.5238,,27,15,0.3571,,28,14,0.3333,
711,41,26,15,0.3659,,19,22,0.5366,,27,14,0.3415,,28,13,0.3171,
712,40,29,11,0.2750,,17,23,0.5750,,30,10,0.2500,,33,7,0.1750,
713,39,31,8,0.2051,,18,21,0.5385,,33,6,0.1538,,39,0,0.0000,
714,41,32,9,0.2195,,21,20,0.4878,,32,9,0.2195,,34,7,0.1707,
715,45,41,4,0.0889,,17,28,0.6222,,41,4,0.0889,,46,-1,0.0222,
716,42,26,16,0.3810,,18,24,0.5714,,28,14,0.3333,,31,11,0.2619,
717,39,26,13,0.3333,,18,21,0.5385,,26,13,0.3333,,27,12,0.3077,
718,40,24,16,0.4000,,20,20,0.5000,,24,16,0.4000,,25,15,0.3750,
719,43,28,15,0.3488,,20,23,0.5349,,29,14,0.3256,,30,13,0.3023,
720,49,33,16,0.3265,,23,26,0.5306,,34,15,0.3061,,36,13,0.2653,
721,47,35,12,0.2553,,25,22,0.4681,,35,12,0.2553,,38,9,0.1915,
722,47,35,12,0.2553,,22,25,0.5319,,35,12,0.2553,,39,8,0.1702,
723,50,38,12,0.2400,,23,27,0.5400,,41,9,0.1800,,42,8,0.1600,
724,48,31,17,0.3542,,18,30,0.6250,,31,17,0.3542,,33,15,0.3125,
725,46,33,13,0.2826,,21,25,0.5435,,35,11,0.2391,,39,7,0.1522,
726,48,32,16,0.3333,,22,26,0.5417,,33,15,0.3125,,34,14,0.2917,
727,47,27,20,0.4255,,19,28,0.5957,,28,19,0.4043,,30,17,0.3617,
728,46,37,9,0.1957,,19,27,0.5870,,37,9,0.1957,,39,7,0.1522,
729,47,33,14,0.2979,,20,27,0.5745,,34,13,0.2766,,36,11,0.2340,
730,43,28,15,0.3488,,20,23,0.5349,,28,15,0.3488,,28,15,0.3488,
731,42,30,12,0.2857,,19,23,0.5476,,30,12,0.2857,,31,11,0.2619,
732,42,27,15,0.3571,,18,24,0.5714,,29,13,0.3095,,32,10,0.2381,
733,38,32,6,0.1579,,18,20,0.5263,,32,6,0.1579,,32,6,0.1579,
734,33,29,4,0.1212,,19,14,0.4242,,29,4,0.1212,,30,3,0.0909,
735,33,27,6,0.1818,,20,13,0.3939,,28,5,0.1515,,31,2,0.0606,
736,33,29,4,0.1212,,20,13,0.3939,,30,3,0.0909,,32,1,0.0303,
737,34,29,5,0.1471,,21,13,0.3824,,31,3,0.0882,,34,0,0.0000,
738,36,30,6,0.1667,,20,16,0.4444,,32,4,0.1111,,34,2,0.0556,
739,32,27,5,0.1563,,23,9,0.2813,,28,4,0.1250,,30,2,0.0625,
740,33,27,6,0.1818,,24,9,0.2727,,27,6,0.1818,,30,3,0.0909,
741,40,35,5,0.1250,,22,18,0.4500,,35,5,0.1250,,37,3,0.0750,
742,35,26,9,0.2571,,18,17,0.4857,,27,8,0.2286,,28,7,0.2000,
743,35,28,7,0.2000,,21,14,0.4000,,28,7,0.2000,,28,7,0.2000,
744,34,29,5,0.1471,,22,12,0.3529,,29,5,0.1471,,32,2,0.0588,
745,32,28,4,0.1250,,20,12,0.3750,,28,4,0.1250,,30,2,0.0625,
746,33,28,5,0.1515,,22,11,0.3333,,28,5,0.1515,,29,4,0.1212,
747,34,27,7,0.2059,,22,12,0.3529,,27,7,0.2059,,31,3,0.0882,
748,34,27,7,0.2059,,21,13,0.3824,,28,6,0.1765,,28,6,0.1765,
749,31,35,-4,0.1290,,21,10,0.3226,,35,-4,0.1290,,36,-5,0.1613,
750,35,31,4,0.1143,,21,14,0.4000,,32,3,0.0857,,34,1,0.0286,
751,36,33,3,0.0833,,20,16,0.4444,,33,3,0.0833,,33,3,0.0833,
752,41,34,7,0.1707,,24,17,0.4146,,34,7,0.1707,,34,7,0.1707,
753,43,31,12,0.2791,,23,20,0.4651,,32,11,0.2558,,33,10,0.2326,
754,39,38,1,0.0256,,24,15,0.3846,,38,1,0.0256,,39,0,0.0000,
755,43,34,9,0.2093,,21,22,0.5116,,35,8,0.1860,,36,7,0.1628,
756,45,29,16,0.3556,,20,25,0.5556,,29,16,0.3556,,31,14,0.3111,
757,46,29,17,0.3696,,20,26,0.5652,,29,17,0.3696,,30,16,0.3478,
758,48,29,19,0.3958,,18,30,0.6250,,29,19,0.3958,,31,17,0.3542,
759,43,26,17,0.3953,,17,26,0.6047,,27,16,0.3721,,30,13,0.3023,
760,43,28,15,0.3488,,22,21,0.4884,,30,13,0.3023,,33,10,0.2326,
761,45,31,14,0.3111,,19,26,0.5778,,31,14,0.3111,,35,10,0.2222,
762,48,35,13,0.2708,,21,27,0.5625,,36,12,0.2500,,37,11,0.2292,
763,49,39,10,0.2041,,19,30,0.6122,,40,9,0.1837,,42,7,0.1429,
764,49,37,12,0.2449,,21,28,0.5714,,37,12,0.2449,,41,8,0.1633,
765,50,37,13,0.2600,,21,29,0.5800,,38,12,0.2400,,42,8,0.1600,
766,46,34,12,0.2609,,18,28,0.6087,,36,10,0.2174,,38,8,0.1739,
767,47,32,15,0.3191,,22,25,0.5319,,33,14,0.2979,,35,12,0.2553,
768,49,39,10,0.2041,,23,26,0.5306,,39,10,0.2041,,42,7,0.1429,
769,42,28,14,0.3333,,22,20,0.4762,,29,13,0.3095,,31,11,0.2619,
770,35,33,2,0.0571,,21,14,0.4000,,34,1,0.0286,,36,-1,0.0286,
771,33,26,7,0.2121,,21,12,0.3636,,26,7,0.2121,,31,2,0.0606,
772,32,27,5,0.1563,,19,13,0.4063,,27,5,0.1563,,28,4,0.1250,
773,31,25,6,0.1935,,20,11,0.3548,,25,6,0.1935,,28,3,0.0968,
774,34,27,7,0.2059,,20,14,0.4118,,27,7,0.2059,,30,4,0.1176,
775,34,28,6,0.1765,,21,13,0.3824,,28,6,0.1765,,33,1,0.0294,
776,37,31,6,0.1622,,23,14,0.3784,,31,6,0.1622,,32,5,0.1351,
777,37,25,12,0.3243,,19,18,0.4865,,25,12,0.3243,,31,6,0.1622,
778,31,24,7,0.2258,,20,11,0.3548,,24,7,0.2258,,25,6,0.1935,
779,33,28,5,0.1515,,18,15,0.4545,,29,4,0.1212,,31,2,0.0606,
780,29,28,1,0.0345,,19,10,0.3448,,29,0,0.0000,,31,-2,0.0690,
781,29,31,-2,0.0690,,18,11,0.3793,,31,-2,0.0690,,32,-3,0.1034,
782,27,26,1,0.0370,,19,8,0.2963,,26,1,0.0370,,29,-2,0.0741,
783,28,28,0,0.0000,,17,11,0.3929,,28,0,0.0000,,30,-2,0.0714,
784,28,28,0,0.0000,,17,11,0.3929,,28,0,0.0000,,29,-1,0.0357,
785,28,24,4,0.1429,,20,8,0.2857,,24,4,0.1429,,26,2,0.0714,
786,27,23,4,0.1481,,18,9,0.3333,,24,3,0.1111,,25,2,0.0741,
787,28,26,2,0.0714,,18,10,0.3571,,27,1,0.0357,,28,0,0.0000,
788,27,24,3,0.1111,,18,9,0.3333,,24,3,0.1111,,24,3,0.1111,
789,29,26,3,0.1034,,21,8,0.2759,,26,3,0.1034,,26,3,0.1034,
790,29,23,6,0.2069,,20,9,0.3103,,23,6,0.2069,,24,5,0.1724,
791,30,29,1,0.0333,,21,9,0.3000,,29,1,0.0333,,31,-1,0.0333,
792,32,23,9,0.2813,,21,11,0.3438,,24,8,0.2500,,24,8,0.2500,
793,31,27,4,0.1290,,20,11,0.3548,,27,4,0.1290,,29,2,0.0645,
794,30,27,3,0.1000,,22,8,0.2667,,27,3,0.1000,,29,1,0.0333,
795,28,25,3,0.1071,,20,8,0.2857,,25,3,0.1071,,26,2,0.0714,
796,28,23,5,0.1786,,18,10,0.3571,,25,3,0.1071,,27,1,0.0357,
797,27,18,9,0.3333,,17,10,0.3704,,18,9,0.3333,,20,7,0.2593,
798,26,19,7,0.2692,,17,9,0.3462,,19,7,0.2692,,24,2,0.0769,
799,28,32,-4,0.1429,,18,10,0.3571,,32,-4,0.1429,,36,-8,0.2857,
800,33,29,4,0.1212,,22,11,0.3333,,31,2,0.0606,,32,1,0.0303,
801,34,30,4,0.1176,,25,9,0.2647,,30,4,0.1176,,31,3,0.0882,
802,34,27,7,0.2059,,21,13,0.3824,,27,7,0.2059,,29,5,0.1471,
803,29,23,6,0.2069,,17,12,0.4138,,25,4,0.1379,,25,4,0.1379,
804,30,21,9,0.3000,,20,10,0.3333,,21,9,0.3000,,26,4,0.1333,
805,33,30,3,0.0909,,25,8,0.2424,,30,3,0.0909,,33,0,0.0000,
806,30,28,2,0.0667,,20,10,0.3333,,28,2,0.0667,,29,1,0.0333,
807,27,22,5,0.1852,,19,8,0.2963,,22,5,0.1852,,25,2,0.0741,
808,26,21,5,0.1923,,16,10,0.3846,,24,2,0.0769,,25,1,0.0385,
809,28,28,0,0.0000,,22,6,0.2143,,29,-1,0.0357,,30,-2,0.0714,
810,26,26,0,0.0000,,16,10,0.3846,,26,0,0.0000,,31,-5,0.1923,
811,26,24,2,0.0769,,18,8,0.3077,,27,-1,0.0385,,29,-3,0.1154,
812,27,24,3,0.1111,,17,10,0.3704,,25,2,0.0741,,26,1,0.0370,
813,28,22,6,0.2143,,15,13,0.4643,,22,6,0.2143,,23,5,0.1786,
814,30,21,9,0.3000,,18,12,0.4000,,22,8,0.2667,,24,6,0.2000,
815,30,24,6,0.2000,,20,10,0.3333,,24,6,0.2000,,26,4,0.1333,
816,26,22,4,0.1538,,19,7,0.2692,,22,4,0.1538,,29,-3,0.1154,
817,29,23,6,0.2069,,19,10,0.3448,,23,6,0.2069,,26,3,0.1034,
818,26,22,4,0.1538,,18,8,0.3077,,23,3,0.1154,,26,0,0.0000,
819,27,21,6,0.2222,,18,9,0.3333,,21,6,0.2222,,24,3,0.1111,
820,33,28,5,0.1515,,23,10,0.3030,,29,4,0.1212,,30,3,0.0909,
821,37,32,5,0.1351,,25,12,0.3243,,34,3,0.0811,,37,0,0.0000,
822,34,30,4,0.1176,,24,10,0.2941,,30,4,0.1176,,30,4,0.1176,
823,36,32,4,0.1111,,23,13,0.3611,,33,3,0.0833,,35,1,0.0278,
824,34,31,3,0.0882,,22,12,0.3529,,32,2,0.0588,,33,1,0.0294,
825,33,24,9,0.2727,,21,12,0.3636,,26,7,0.2121,,28,5,0.1515,
826,32,25,7,0.2188,,20,12,0.3750,,26,6,0.1875,,28,4,0.1250,
827,32,26,6,0.1875,,20,12,0.3750,,27,5,0.1563,,27,5,0.1563,
828,33,25,8,0.2424,,21,12,0.3636,,25,8,0.2424,,26,7,0.2121,
829,31,26,5,0.1613,,20,11,0.3548,,26,5,0.1613,,27,4,0.1290,
830,33,24,9,0.2727,,20,13,0.3939,,24,9,0.2727,,25,8,0.2424,
831,34,28,6,0.1765,,20,14,0.4118,,28,6,0.1765,,30,4,0.1176,
832,35,23,12,0.3429,,19,16,0.4571,,23,12,0.3429,,26,9,0.2571,
833,32,23,9,0.2813,,18,14,0.4375,,23,9,0.2813,,25,7,0.2188,
834,28,21,7,0.2500,,16,12,0.4286,,21,7,0.2500,,21,7,0.2500,
835,22,24,-2,0.0909,,16,6,0.2727,,24,-2,0.0909,,25,-3,0.1364,
836,25,18,7,0.2800,,16,9,0.3600,,20,5,0.2000,,21,4,0.1600,
837,26,24,2,0.0769,,18,8,0.3077,,25,1,0.0385,,26,0,0.0000,
838,32,27,5,0.1563,,18,14,0.4375,,27,5,0.1563,,29,3,0.0938,
839,32,31,1,0.0313,,22,10,0.3125,,31,1,0.0313,,31,1,0.0313,
840,31,28,3,0.0968,,20,11,0.3548,,28,3,0.0968,,31,0,0.0000,
841,32,29,3,0.0938,,18,14,0.4375,,29,3,0.0938,,29,3,0.0938,
842,32,30,2,0.0625,,22,10,0.3125,,31,1,0.0313,,35,-3,0.0938,
843,27,28,-1,0.0370,,20,7,0.2593,,29,-2,0.0741,,29,-2,0.0741,
844,27,28,-1,0.0370,,19,8,0.2963,,28,-1,0.0370,,29,-2,0.0741,
845,25,24,1,0.0400,,19,6,0.2400,,25,0,0.0000,,25,0,0.0000,
846,23,21,2,0.0870,,16,7,0.3043,,22,1,0.0435,,22,1,0.0435,
847,21,22,-1,0.0476,,15,6,0.2857,,22,-1,0.0476,,22,-1,0.0476,
848,23,20,3,0.1304,,15,8,0.3478,,21,2,0.0870,,22,1,0.0435,
849,23,25,-2,0.0870,,18,5,0.2174,,25,-2,0.0870,,26,-3,0.1304,
850,25,25,0,0.0000,,17,8,0.3200,,25,0,0.0000,,27,-2,0.0800,
851,24,24,0,0.0000,,18,6,0.2500,,24,0,0.0000,,28,-4,0.1667,
852,24,25,-1,0.0417,,18,6,0.2500,,26,-2,0.0833,,28,-4,0.1667,
853,24,25,-1,0.0417,,18,6,0.2500,,25,-1,0.0417,,26,-2,0.0833,
854,21,22,-1,0.0476,,17,4,0.1905,,23,-2,0.0952,,24,-3,0.1429,
855,22,25,-3,0.1364,,15,7,0.3182,,25,-3,0.1364,,26,-4,0.1818,
856,22,24,-2,0.0909,,15,7,0.3182,,25,-3,0.1364,,29,-7,0.3182,
857,21,26,-5,0.2381,,16,5,0.2381,,27,-6,0.2857,,30,-9,0.4286,
858,23,21,2,0.0870,,16,7,0.3043,,23,0,0.0000,,26,-3,0.1304,
859,25,24,1,0.0400,,18,7,0.2800,,24,1,0.0400,,27,-2,0.0800,
860,23,21,2,0.0870,,15,8,0.3478,,21,2,0.0870,,25,-2,0.0870,
861,23,24,-1,0.0435,,16,7,0.3043,,25,-2,0.0870,,29,-6,0.2609,
862,25,23,2,0.0800,,19,6,0.2400,,23,2,0.0800,,25,0,0.0000,
863,25,27,-2,0.0800,,18,7,0.2800,,27,-2,0.0800,,28,-3,0.1200,
864,24,28,-4,0.1667,,19,5,0.2083,,29,-5,0.2083,,29,-5,0.2083,
865,21,23,-2,0.0952,,15,6,0.2857,,23,-2,0.0952,,24,-3,0.1429,
866,21,20,1,0.0476,,15,6,0.2857,,21,0,0.0000,,26,-5,0.2381,
867,22,31,-9,0.4091,,18,4,0.1818,,32,-10,0.4545,,36,-14,0.6364,
868,22,29,-7,0.3182,,16,6,0.2727,,30,-8,0.3636,,35,-13,0.5909,
869,23,27,-4,0.1739,,19,4,0.1739,,28,-5,0.2174,,29,-6,0.2609,
870,23,25,-2,0.0870,,17,6,0.2609,,25,-2,0.0870,,26,-3,0.1304,
871,23,28,-5,0.2174,,21,2,0.0870,,28,-5,0.2174,,29,-6,0.2609,
872,27,29,-2,0.0741,,21,6,0.2222,,29,-2,0.0741,,32,-5,0.1852,
873,29,27,2,0.0690,,21,8,0.2759,,27,2,0.0690,,30,-1,0.0345,
874,27,25,2,0.0741,,21,6,0.2222,,26,1,0.0370,,28,-1,0.0370,
875,28,25,3,0.1071,,21,7,0.2500,,27,1,0.0357,,28,0,0.0000,
876,28,24,4,0.1429,,20,8,0.2857,,24,4,0.1429,,25,3,0.1071,
877,30,25,5,0.1667,,21,9,0.3000,,25,5,0.1667,,26,4,0.1333,
878,31,25,6,0.1935,,23,8,0.2581,,25,6,0.1935,,26,5,0.1613,
879,28,24,4,0.1429,,22,6,0.2143,,25,3,0.1071,,26,2,0.0714,
880,32,24,8,0.2500,,19,13,0.4063,,24,8,0.2500,,27,5,0.1563,
881,29,28,1,0.0345,,20,9,0.3103,,28,1,0.0345,,29,0,0.0000,
882,28,27,1,0.0357,,20,8,0.2857,,27,1,0.0357,,28,0,0.0000,
883,28,25,3,0.1071,,19,9,0.3214,,25,3,0.1071,,25,3,0.1071,
884,24,20,4,0.1667,,16,8,0.3333,,21,3,0.1250,,21,3,0.1250,
885,25,22,3,0.1200,,18,7,0.2800,,22,3,0.1200,,25,0,0.0000,
886,25,23,2,0.0800,,17,8,0.3200,,24,1,0.0400,,26,-1,0.0400,
887,22,23,-1,0.0455,,17,5,0.2273,,23,-1,0.0455,,25,-3,0.1364,
888,22,26,-4,0.1818,,18,4,0.1818,,26,-4,0.1818,,28,-6,0.2727,
889,22,26,-4,0.1818,,19,3,0.1364,,29,-7,0.3182,,31,-9,0.4091,
890,23,23,0,0.0000,,18,5,0.2174,,24,-1,0.0435,,25,-2,0.0870,
891,25,25,0,0.0000,,18,7,0.2800,,25,0,0.0000,,26,-1,0.0400,
892,27,27,0,0.0000,,20,7,0.2593,,27,0,0.0000,,28,-1,0.0370,
893,30,27,3,0.1000,,20,10,0.3333,,28,2,0.0667,,28,2,0.0667,
894,29,29,0,0.0000,,18,11,0.3793,,29,0,0.0000,,29,0,0.0000,
895,32,27,5,0.1563,,21,11,0.3438,,28,4,0.1250,,28,4,0.1250,
896,36,27,9,0.2500,,18,18,0.5000,,28,8,0.2222,,29,7,0.1944,
897,40,32,8,0.2000,,21,19,0.4750,,34,6,0.1500,,36,4,0.1000,
898,41,31,10,0.2439,,21,20,0.4878,,32,9,0.2195,,34,7,0.1707,
899,42,30,12,0.2857,,21,21,0.5000,,30,12,0.2857,,31,11,0.2619,
900,41,35,6,0.1463,,22,19,0.4634,,35,6,0.1463,,39,2,0.0488,
901,45,32,13,0.2889,,19,26,0.5778,,34,11,0.2444,,36,9,0.2000,
902,46,34,12,0.2609,,19,27,0.5870,,36,10,0.2174,,36,10,0.2174,
903,45,36,9,0.2000,,20,25,0.5556,,37,8,0.1778,,40,5,0.1111,
904,45,31,14,0.3111,,24,21,0.4667,,32,13,0.2889,,36,9,0.2000,
905,43,32,11,0.2558,,21,22,0.5116,,34,9,0.2093,,38,5,0.1163,
906,42,34,8,0.1905,,23,19,0.4524,,34,8,0.1905,,37,5,0.1190,
907,41,34,7,0.1707,,23,18,0.4390,,34,7,0.1707,,38,3,0.0732,
908,41,32,9,0.2195,,22,19,0.4634,,33,8,0.1951,,36,5,0.1220,
909,42,34,8,0.1905,,21,21,0.5000,,34,8,0.1905,,35,7,0.1667,
910,41,38,3,0.0732,,23,18,0.4390,,38,3,0.0732,,40,1,0.0244,
911,42,40,2,0.0476,,24,18,0.4286,,40,2,0.0476,,43,-1,0.0238,
912,42,35,7,0.1667,,23,19,0.4524,,35,7,0.1667,,37,5,0.1190,
913,42,35,7,0.1667,,25,17,0.4048,,36,6,0.1429,,37,5,0.1190,
914,41,32,9,0.2195,,25,16,0.3902,,32,9,0.2195,,34,7,0.1707,
915,36,30,6,0.1667,,24,12,0.3333,,30,6,0.1667,,33,3,0.0833,
916,32,35,-3,0.0938,,26,6,0.1875,,36,-4,0.1250,,37,-5,0.1563,
917,31,32,-1,0.0323,,22,9,0.2903,,34,-3,0.0968,,35,-4,0.1290,
918,35,35,0,0.0000,,25,10,0.2857,,36,-1,0.0286,,39,-4,0.1143,
919,38,33,5,0.1316,,24,14,0.3684,,35,3,0.0789,,41,-3,0.0789,
920,35,31,4,0.1143,,25,10,0.2857,,33,2,0.0571,,37,-2,0.0571,
921,32,35,-3,0.0938,,20,12,0.3750,,36,-4,0.1250,,40,-8,0.2500,
922,34,34,0,0.0000,,22,12,0.3529,,35,-1,0.0294,,37,-3,0.0882,
923,38,41,-3,0.0789,,23,15,0.3947,,42,-4,0.1053,,47,-9,0.2368,
924,40,38,2,0.0500,,24,16,0.4000,,39,1,0.0250,,42,-2,0.0500,
925,40,35,5,0.1250,,24,16,0.4000,,35,5,0.1250,,39,1,0.0250,
